25 orionis group;25 Orionis Gruppe
252p/linear;252P/LINEAR
3.6-metre telescope;3,6-Meter Teleskop
accretion disc;Akkretionsscheibe
active centre;aktive Zentrum
active galactic nucleus;aktive Galaxienkern
active galaxies;aktive Galaxien
active galaxy;aktive Galaxie
adaptive optics;adaptives Optiksystem
airglow;Airglow
aldebaran;Aldebaran
alpaca;Alpaka
alpha centauri;Alpha Centauri
alpha crucis;Acrux
andes;Anden
andes mountains;Anden
andromeda galaxy;Andromedagalaxie
antares;Antares
antenna;Antenne
anticrepuscular rays;Gegendämmerungsstrahlen
antisolar point;Sonnengegenpunkt
asteroid belt;Asteroidengürtel
asteroid familie;Asteroidenfamilie
astrochemical;astrochemischer
astronomical unit or au;Astronomische Einheit
astrophotographer;Astrofotograf
asymptotic giant branch;asymptotischen Riesenast
at the very centre of our galaxy;im Zentrum unserer Milchstraße
atacama desert;Atacama-Wüste
atacama large millimeter/submillimeter array;Atacama Large Millimeter/submillimeter Array
atmospheric refraction;astronomische Refraktion
au;AE
aurora;Polarlicht
auxiliary telescopes;Hilfsteleskope
barnard's loop;Barnard's Loop
barred irregular;irreguläre Zwerggalaxie
beta centauri;Beta Centauri
beta crucis;Beta Crucis
betelgeuse;Beteigeuze
big bang;Urknall
big dipper;Große Wagen
binary star system;Doppelsternsystem
boomerang nebula;Boomerangnebel
bow waves;Bugwellen
brown dwarf;Brauner Zwerg
california nebula;Kaliforniennebel
camelid;Kamel
canis major;Canis Major
canopus;Canopus
carbon monoxide;Kohlenstoffmonoxid
carbon-rich;kohlenstoffreich
carina;Carina (Kiel des Schiffes)
carina nebula;Carinanebel
cassegrain focus;Cassegrainfokus
cat’s paw nebula (ngc 6334);Katzenpfotennebel (NGC 6334)
cattle egret;Kuhreiher
ccd camera;CCD-Sensor
celestial equator;Himmesäquators
celestial pole;Himmelspol
centaurus;Zentaur
cerro armazones;Cerro Armazones
cerro paranal;Cerro Paranal
cherenkov radiation;Tscherenkow-Strahlung
circumbinary planet;zirkumbinärer Planet
circumstellar disc;zirkumstellare Scheibe
coalsack nebula;Kohlensack
comet c/2014 q2 (lovejoy;Komet C/2014 Q2 (Lovejoy)
comet lovejoy;Komet Lovejoy
comets;Komet
cone nebula;Konusnebel
conjunction;Konjunktion
constellation of coma berenices;Sternbild Coma Berenices
constellation of crux;Sternbild Kreuz des Südens (lat. crux)
constellation of orion;Sternbild Orion
constellation of perseus;Sternbild Perseus
constellation of sagittarius;Sternbild Schütze
constellation of virgo;Sternbild Virgo (Jungfrau)
constellations of the zodiac;Tierkreiszeichen
core collapse of a massive star;Kernkollaps
cosmic dust;kosmischer Staub
cosmic microwave background;kosmischer Mikrowellenhintergrund
crescent moon;Mondsichel
c-type;C-Asteroiden
dark matter;Dunkler Materie
dark nebulae;Dunkelwolke
dawn spacecraft;Dawn-Raumsonde
delta crucis;Delta Crucis
density waves;Dichtewellen
diaguita;Diaguita
diffraction limit;theoretischen Auflösungsgrenze
direct imaging;direkte Beobachtung
disc;Scheibe
disc of rotating material;Scheibe aus rotierendem Material
dust;Staubwolke
dust lanes;Staubbänder
dusty;Staub
dwarf galaxies;Zwerggalaxien
dwarf galaxy;Zwerggalaxie
dwarf planet;Zwergplanet
earthshine;aschgraues Mondlicht
ecliptic;Ekliptik
einstein rings;Einsteinring
electrons;Elektronen
elliptical galaxy;elliptischen Galaxie
emission nebula;Emissionsnebel
eso photo ambassador;ESO-Fotobotschafter
ESO Photo Ambassador;ESO-Fotobotschafter
ESO Picture of the Week;ESO-Bild der Woche
eso supernova planetarium & visitor centre;ESO Supernova Planetarium und Besucherzentrum
eso’s headquarters;Hauptsitz der ESO
eso’s paranal observatory;Paranal Observatorium der ESO
